"escolaridade"
"ENSINO INFANTIL"
"ENSINO FUNDAMENTAL"
"ENSINO MÉDIO"
"ENSINO TÉCNICO"
"ENSINO PROFISSIONALIZANTE"
"GRADUAÇÃO"
"PÓS-GRADUAÇÃO"
"MESTRADO"
"DOUTORADO"
"PÓS-DOUTORADO"
"PRÉ-VESTIBULAR"
"TECNÓLOGO"
