"NOME"
"AÇÕES DE COMANDOS"
"AÇÚCAR E ÁLCOOL"
"ACUPUNTURA"
"ADMINISTRAÇÃO"
"ADMINISTRAÇÃO E NEGÓCIOS"
"ADMINISTRAÇÃO EM RECURSOS HUMANOS"
"AEROPORTUÁRIO"
"AGENCIAMENTO DE VIAGEM"
"AGENTE COMUNITÁRIO DE SAÚDE"
"AGRICULTURA"
"AGRICULTURA DE PRECISÃO"
"AGRIMENSURA"
"AGROECOLOGIA"
"AGROFLORESTAL"
"AGROINDÚSTRIA"
"AGRONEGÓCIOS"
"AGROPECUÁRIA"
"ALIMENTAÇÃO ESCOLAR"
"ALIMENTOS"
"ANÁLISES CLÍNICAS"
"ANÁLISES QUÍMICAS"
"APICULTURA"
"AQUICULTURA"
"ARTEFATOS DE COURO"
"ARTES CIRCENSES"
"ARTES VISUAIS"
"ARTESANATO"
"ARTILHARIA"
"ARTILHARIA ANTIAÉREA"
"AUTOMAÇÃO INDUSTRIAL"
"AVICULTURA"
"BIBLIOTECONOMIA"
"BIOCOMBUSTÍVEIS"
"BIOTECNOLOGIA"
"BOMBEIRO AERONÁUTICO"
"CAFEICULTURA"
"CALÇADOS"
"CANTO"
"CARPINTARIA"
"CAVALARIA"
"CELULOSE E PAPEL"
"CENOGRAFIA"
"CERÂMICA"
"CERVEJARIA"
"CITOPATOLOGIA"
"COMÉRCIO"
"COMÉRCIO EXTERIOR"
"COMPOSIÇÃO E ARRANJO"
"COMPUTAÇÃO GRÁFICA"
"COMUNICAÇÃO"
"COMUNICAÇÃO VISUAL"
"COMUNICAÇÕES AERONÁUTICAS"
"COMUNICAÇÕES NAVAIS"
"CONDOMÍNIO"
"CONFEITARIA"
"CONSERVAÇÃO E RESTAURO"
"CONSTRUÇÃO NAVAL"
"CONTABILIDADE"
"CONTROLE AMBIENTAL"
"CONTROLE DE TRÁFEGO AÉREO"
"COOPERATIVISMO"
"COZINHA"
"CUIDADOS DE IDOSOS"
"CURTIMENTO"
"DANÇA"
"DEFESA CIVIL"
"DESENHO DE CONSTRUÇÃO CIVIL"
"DESENHO MILITAR"
"DESENVOLVIMENTO DE SISTEMAS"
"DESIGN DE CALÇADOS"
"DESIGN DE EMBALAGENS"
"DESIGN DE INTERIORES"
"DESIGN DE MODA"
"DESIGN DE MÓVEIS"
"DESIGN GRÁFICO"
"DOCUMENTAÇÃO MUSICAL"
"ECOTURISMO"
"EDIFICAÇÕES"
"ELETRICIDADE E INSTRUMENTOS AERONÁUTICOS"
"ELETROELETRÔNICA"
"ELETROMECÂNICA"
"ELETRÔNICA"
"ELETROTÉCNICA"
"ENFERMAGEM"
"EQUIPAMENTO DE ENGENHARIA"
"EQUIPAMENTOS BIOMÉDICOS"
"EQUIPAMENTOS DE VÔO"
"EQUIPAMENTOS PESQUEIROS"
"ESTÉTICA"
"ESTRADAS"
"ESTRUTURA E PINTURA DE AERONAVES"
"EVENTOS"
"FABRICAÇÃO DE INSTRUMENTOS MUSICAIS"
"FABRICAÇÃO MECÂNICA"
"FARMÁCIA"
"FIGURINO"
"FINANÇAS"
"FLORESTAS"
"FORÇAS ESPECIAIS"
"FOTOINTELIGÊNCIA"
"FRUTICULTURA"
"GASTRONOMIA"
"GEODÉSIA E CARTOGRAFIA"
"GEOLOGIA"
"GEOPROCESSAMENTO"
"GERÊNCIA EM SAÚDE"
"GESTÃO CULTURAL"
"GESTÃO EM TECNOLOGIA DA INFORMAÇÃO"
"GESTÃO ESCOLAR"
"GRÃOS"
"GRAVAÇÃO MUSICAL"
"GUARDA E SEGURANÇA"
"GUIA DE TURISMO"
"HEMOTERAPIA"
"HIDROGRAFIA"
"HIDROLOGIA"
"HOSPEDAGEM"
"IMAGEM PESSOAL"
"IMOBILIZAÇÕES ORTOPÉDICAS"
"IMPRESSÃO OFFSET"
"IMPRESSÃO ROTOGRÁFICA E FLEXOGRÁFICA"
"INFANTARIA"
"INFORMAÇÕES AERONÁUTICAS"
"INFORMÁTICA"
"INFORMÁTICA PARA INTERNET"
"INFRAESTRUTURA ESCOLAR"
"INSTRUMENTAÇÃO CIRÚRGICA"
"INSTRUMENTO MUSICAL"
"JOALHERIA"
"LABORATÓRIO DE ANÁLISES CLÍNICAS"
"LABORATÓRIO DE CIÊNCIAS DA NATUREZA"
"LAZER"
"LOGÍSTICA"
"LUDOTECA"
"MANUTENÇÃO DE MÁQUINAS NAVAIS"
"SEGURANÇA DO TRABALHO"
"MANOBRAS E EQUIPAMENTOS DE CONVÉS"
"MANUTENÇÃO AUTOMOTIVA"
"MANUTENÇÃO DE AERONAVES EM AVIÔNICOS"
"MANUTENÇÃO DE AERONAVES EM CÉLULA"
"MANUTENÇÃO DE AERONAVES EM GRUPO MOTOPROPULSOR"
"MANUTENÇÃO DE MÁQUINAS INDUSTRIAIS"
"MANUTENÇÃO DE MÁQUINAS PESADAS"
"MANUTENÇÃO DE SISTEMAS METROFERROVIÁRIOS"
"MANUTENÇÃO E SUPORTE EM INFORMÁTICA"
"MANUTENÇÃO METROFERROVIÁRIA"
"MARKETING"
"MASSOTERAPIA"
"MATERIAL BÉLICO"
"MECÂNICA"
"MECÂNICA DE AERONAVES"
"MECÂNICA DE PRECISÃO"
"MECATRÔNICA"
"MEIO AMBIENTE"
